procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 623924 1664176   2508 780896    9   23   340   262  736  801 15  4 80  1  0
 2  0 623924 1664176   2508 780896    0    0 18416     0 1912  880 22  3 74  2  0
 2  0 623924 1664176   2508 780896    0    0  2720     0 1384  496 25  1 74  0  0
 2  0 623924 1664176   2508 780896    0    0  2304     0 1367  360 25  1 74  0  0
 2  0 623924 1664176   2508 780896    0    0  2048     0 1424  499 25  1 74  0  0
 2  0 623924 1664176   2508 780896    0    0  2048    88 1395  431 25  0 74  0  0
 2  0 623924 1664176   2508 780896    0    0  2048   224 1458  497 25  1 74  0  0
 2  0 623924 1664176   2508 780896    0    0  2048     0 1360  385 25  0 75  0  0
 2  0 623924 1664176   2508 780896    0    0  2048     0 1439  493 25  1 74  0  0
 2  0 623924 1664176   2508 780896    0    0  2048     0 1392  402 25  0 75  0  0
 2  0 623924 1664176   2508 780896    0    0  9172    40 1792  778 25  1 72  2  0
 2  0 623924 1664176   2508 780896    0    0  2048     0 1333  348 25  0 75  0  0
 2  0 623924 1664176   2508 780896    0    0  2048     4 1613  758 25  1 74  0  0
 2  0 623924 1664176   2508 780896    0    0  2048     0 1371  396 25  0 75  0  0
 2  0 623924 1664176   2508 780896    0    0  2048   160 1457  503 25  1 74  0  0
 2  0 623924 1664176   2508 780896    0    0  2048    40 1394  423 25  0 74  0  0
 2  0 623924 1664176   2508 780896    0    0  2048     0 1479  481 25  1 74  0  0
 2  0 623924 1664176   2508 780896    0    0  2048     0 1409  376 25  0 75  0  0
 2  0 623924 1664176   2508 780896    0    0  2048     0 1414  481 25  1 74  0  0
 2  0 623924 1664176   2508 780896    0    0  2048    20 1402  415 25  0 75  0  0
 2  0 623924 1664176   2508 780896    0    0  2304    36 1422  498 25  1 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 623924 1664176   2508 780896    0    0  2048     0 1482  561 25  0 75  0  0
 2  0 623924 1664176   2508 780896    0    0  2048   292 1489  508 25  1 74  0  0
 2  0 623924 1664176   2508 780896    0    0  2048     0 1270  335 25  0 75  0  0
 2  0 623924 1664176   2508 780896    0    0  2048     0 1429  486 25  1 74  0  0
 2  0 623924 1664176   2508 780896    0    0  2048    60 1361  422 25  1 74  0  0
 2  0 623924 1664176   2508 780896    0    0  2048     0 1376  447 25  1 74  0  0
 2  0 623924 1664176   2508 780896    0    0  2048     0 1292  342 25  0 75  0  0
 2  0 623924 1664176   2508 780896    0    0  2048     0 1376  461 25  1 74  0  0
 2  0 623924 1664176   2508 780896    0    0  2048     0 1410  394 25  1 75  0  0
 2  0 623924 1664176   2508 780896    0    0  2048    60 1423  501 25  1 74  0  0
 1  1 623924 1664176   2508 780896    0    0  1796 18164 1323  422 23  1 73  4  0
 2  0 623924 1664176   2508 780896    0    0  1836 48232 1671  956 23  2 53 23  0
 2  0 623924 1664176   2508 780896    0    0  2048     0 1288  338 25  0 75  0  0
 2  0 623924 1664176   2508 780896    0    0  2304     0 1453  505 25  1 74  0  0
 2  0 623924 1664176   2508 780896    0    0  2048   208 1424  437 25  0 74  0  0
 2  0 623924 1664176   2508 780896    0    0  2048    24 1470  485 25  1 74  0  0
 2  0 623924 1664176   2508 780896    0    0  2048     0 1326  343 25  0 75  0  0
