procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 961588 2181836   2064 574860   10   30  6288    84  586  902  6  9 76  9  0
 2  0 961588 2181836   2064 574860    0    0 22420     0 1930  866 23  2 74  2  0
 2  0 961588 2181836   2064 574860    0    0  8124     0 1608  610 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7340     0 1449  411 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7940     0 1455  424 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7936    80 1339  293 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7948  8700 1546  560 25  1 73  1  0
 2  0 961588 2181836   2064 574860    0    0  7040     0 1392  413 25  1 74  0  0
 2  0 961588 2181836   2064 574860    8    0  7816     0 1810  596 27  4 69  0  0
 2  0 961588 2181836   2064 574860    0    0  7952     0 1497  402 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7040    76 1352  404 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0 14560     0 1904  876 25  1 71  3  0
 2  0 961588 2181836   2064 574860    0    0  7936     0 1443  435 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7296     0 1423  445 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7552     0 1353  374 25  1 75  0  0
 2  0 961588 2181836   2064 574860    0    0  7936    52 1296  279 25  1 75  0  0
 2  0 961588 2181836   2064 574860    0    0  7936     0 1508  494 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7824  1864 1472  370 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7172     0 1428  434 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7936     0 1306  325 25  0 75  0  0
 2  0 961588 2181836   2064 574860    0    0  7808    72 1472  436 25  1 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 961588 2181836   2064 574860    0    0 25012     0 2354 1282 26  2 67  5  0
 2  0 961588 2181836   2064 574860    0    0  8180     0 1682  709 25  2 73  0  0
 2  0 961588 2181836   2064 574860    0    0  7936     0 1444  496 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7040     0 1386  385 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7936    96 1464  400 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7812 16720 1579  485 25  1 73  1  0
 2  0 961588 2181836   2064 574860    0    0  7936   816 1495  424 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7040     0 1417  395 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7952     0 1465  370 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7936     0 1424  395 25  1 74  0  0
 3  0 961588 2181836   2064 574860    0    0  7568 15072 1496  501 24  1 73  2  0
 1  2 961588 2181836   2064 574860    0    0   652  9736  672  548  3  1 49 47  0
 2  0 961588 2181836   2064 574860    0    0  4100  1856  981  423 14  1 71 15  0
 2  0 961588 2181836   2064 574860    0    0  6144     0 1311  409 22  1 74  3  0
 2  0 961588 2181836   2064 574860    0    0  7040     0 1271  335 23  0 75  2  0
 2  0 961588 2181836   2064 574860    0    0  6172    96 1596  690 21  1 74  4  0
 2  0 961588 2181836   2064 574860    0    0  7936     0 1378  337 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7936  1864 1536  487 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7836     0 1386  296 25  0 75  0  0
 2  0 961588 2181836   2064 574860    0    0  7040     0 1474  453 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7936    76 1465  382 25  1 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 961588 2181836   2064 574860    0    0 14836    12 1874  692 25  1 72  2  0
 2  0 961588 2181836   2064 574860    0    0  7936     0 1432  409 25  1 75  0  0
 2  0 961588 2181836   2064 574860    0    0  7040     0 1396  398 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7808     0 1317  297 25  0 75  0  0
 2  0 961588 2181836   2064 574860    0    0  7936    36 1397  410 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7968     0 1435  367 25  1 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7040     0 1481  453 25  1 75  0  0
 2  0 961588 2181836   2064 574860    0    0  7936     0 1447  414 25  0 74  0  0
 2  0 961588 2181836   2064 574860    0    0  7808     0 1360  377 25  1 74  0  0
