procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 961588 1995928   2280 600648   10   30  6307    82  587  906  6  9 76  9  0
 2  0 961588 1995928   2280 600648    0    0 16456     0 1660  909  3  3 72 23  0
 2  0 961588 1995928   2280 600648    0    0 29952     0 1460  508 20  1 74  4  0
 2  0 961588 1995928   2280 600648    0    0 37888     0 1543  395 25  1 74  0  0
 2  0 961588 1995928   2280 600648    0    0 38448     0 1601  464 24  1 74  0  0
 2  0 961588 1995928   2280 600648    0    0 37888    60 1560  407 25  1 75  0  0
 2  0 961588 1995928   2280 600648    0    0 38144     0 1549  459 25  1 74  0  0
 2  0 961588 1995928   2280 600648    0    0 37888     0 1417  286 25  1 75  0  0
 2  0 961588 1995928   2280 600648    0    0 38144     0 1498  447 25  1 74  0  0
 2  0 961588 1995928   2280 600648    0    0 38144     0 1640  404 25  1 75  0  0
 2  0 961588 1995928   2280 600648    0    0 37888    32 1536  413 25  1 74  0  0
 3  0 961588 1995928   2280 600648    0    0 54136     0 4827 5428 48 12 38  2  0
