procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 961076 1990268   2088 609584    9   29  6159    86  582  885  7  8 76  9  0
 2  0 961076 1990268   2088 609584    0    0 16124     0 1397  841  2  3 68 27  0
 2  0 961076 1990268   2088 609584    0    0 12420     0 1309  337 24  1 74  0  0
 1  1 961076 1990268   2088 609584    0    0  9216     0 1033  360 18  1 75  7  0
 2  0 961076 1990268   2088 609584    0    0 11520     0 1357  409 24  1 74  1  0
 1  2 961076 1990268   2088 609584    0    0 12032    72 1387  355 23  1 72  4  0
 2  0 961076 1990268   2088 609584    0    0 11264     0 1372  410 23  1 72  4  0
 2  0 961076 1990268   2088 609584    0    0 12800     0 1285  236 25  1 75  0  0
 2  0 961076 1990268   2088 609584    0    0 12544     0 1401  346 25  1 75  0  0
 2  0 961076 1990268   2088 609584    0    0 12544     0 1329  243 25  1 74  0  0
