procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 143872 1392124   2088 814684    1   17  1348   470  469  385 20  3 77  1  0
 2  0 143872 1392124   2088 814684    0    0 19060     0 1714  639 22  2 74  2  0
 2  0 143872 1392124   2088 814684    0    0  3200     0 1395  469 25  1 74  0  0
 2  0 143872 1392124   2088 814684    0    0  3512     0 1261  257 25  0 74  0  0
 2  0 143872 1392124   2088 814684    0    0  3328     0 1255  290 25  1 74  0  0
 2  0 143872 1392124   2088 814684    0    0  3328    68 1205  256 25  1 75  0  0
 2  0 143872 1392124   2088 814684    0    0  3200     0 1254  304 25  1 74  0  0
 2  0 143872 1392124   2088 814684    0    0  3200     0 1226  217 25  0 75  0  0
 2  0 143872 1392124   2088 814684    0    0  3508  1832 1456  480 25  1 74  0  0
 2  0 143872 1392124   2088 814684    0    0  3328     0 1314  269 25  1 75  0  0
 2  0 143872 1392124   2088 814684    0    0  3472   168 1621  761 26  1 73  0  0
 2  0 143872 1392124   2088 814684    0    0  3072     0 1767  455 32  1 67  0  0
 2  0 143872 1392124   2088 814684    0    0  3200     0 1388  459 25  1 74  0  0
 2  0 143872 1392124   2088 814684    0    0  3284     0 1397  480 26  1 73  0  0
 2  0 143872 1392124   2088 814684    0    0  3328     0 1504  484 25  1 74  0  0
 2  0 143872 1392124   2088 814684    0    0  3328    52 1368  407 25  1 74  0  0
 2  0 143872 1392124   2088 814684    0    0  3200     0 1533  523 25  1 74  0  0
 2  0 143872 1392124   2088 814684    0    0  3200     0 1327  368 25  1 74  0  0
 2  0 143872 1392124   2088 814684    0    0  3200     0 1400  439 25  1 74  0  0
 2  0 143872 1392124   2088 814684    0    0  3328     0 1313  305 25  1 75  0  0
 2  0 143872 1392124   2088 814684    0    0  3328    28 1332  400 25  1 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 143872 1392124   2088 814684    0    0  3200     0 1279  301 25  0 75  0  0
 2  0 143872 1392124   2088 814684    0    0  3200     0 1345  417 25  1 74  0  0
 2  0 143872 1392124   2088 814684    0    0  3328     0 1351  385 25  1 75  0  0
 3  0 143872 1392124   2088 814684    0    0  9712   124 3610 3942 44  8 48  0  0
 3  0 143872 1392124   2088 814684    0    0 14276     0 4358 2281 51  5 43  1  0
 3  0 143872 1392124   2088 814684    0    0  2432     0 5660 1007 54  4 42  0  0
 2  0 143872 1392124   2088 814684    0    0  2900   144 4848 2332 49  3 48  0  0
 6  0 143872 1392124   2088 814684    0    0  2944     0 2417  707 37  4 58  0  0
 2  0 143872 1392124   2088 814684    0    0  2564   172 3771 4071 47  8 45  0  0
 2  0 143872 1392124   2088 814684    0    0  3200     0 1457  557 25  1 74  0  0
 2  0 143872 1392124   2088 814684    0    0  5908   668 1652  605 25  1 73  1  0
 2  0 143872 1392124   2088 814684    0    0  3780  1364 1653  762 25  1 74  1  0
 2  0 143872 1392124   2088 814684    0    0  3200     0 1258  285 25  1 75  0  0
 2  0 143872 1392124   2088 814684    0    0  3200   544 1569  552 25  1 74  0  0
 2  0 143872 1392124   2088 814684    0    0  3328   224 1480  498 25  0 74  0  0
 2  0 143872 1392124   2088 814684    0    0  3200   360 1588  595 26  1 73  0  0
 2  0 143872 1392124   2088 814684    0    0  3328     0 1338  363 25  0 75  0  0
 2  0 143872 1392124   2088 814684    0    0  3200     0 1373  426 25  1 74  0  0
 2  0 143872 1392124   2088 814684    0    0  3336     0 1298  299 25  1 74  0  0
 2  0 143872 1392124   2088 814684    0    0  3200   124 1598  617 25  1 74  0  0
 2  0 143872 1392124   2088 814684    0    0  3736     0 1442  439 25  0 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 143872 1392124   2088 814684    0    0  3328     0 1365  423 25  1 75  0  0
 2  0 143872 1392124   2088 814684    0    0  3200     0 1341  325 25  1 74  0  0
 2  0 143872 1392124   2088 814684    0    0  3328     0 1452  477 25  1 74  0  0
 2  0 143872 1392124   2088 814684    0    0  3200    32 1331  340 25  0 75  0  0
 2  0 143872 1392124   2088 814684    0    0  3200     0 1334  392 25  1 74  0  0
 2  0 143872 1392124   2088 814684    0    0  3328     0 1341  388 25  0 74  0  0
 2  0 143872 1392124   2088 814684    0    0  3328     0 1501  686 25  1 74  0  0
 2  0 143872 1392124   2088 814684    0    0  3200   180 1340  332 25  0 74  0  0
 2  0 143872 1392124   2088 814684    0    0  3200     0 1356  402 25  1 74  0  0
 2  0 143872 1392124   2088 814684    0    0  3328     0 1339  340 25  1 74  0  0
 2  0 143872 1392124   2088 814684    0    0  3328     0 1398  430 25  1 74  0  0
 2  0 143872 1392124   2088 814684    0    0  3200     0 1313  374 25  0 75  0  0
 2  0 143872 1392124   2088 814684    0    0  3200   164 1800  616 29  1 70  0  0
 2  0 143872 1392124   2088 814684    0    0  3072     0 1701  612 29  1 70  0  0
 2  0 143872 1392124   2088 814684    0    0  3752     0 1486  527 25  1 74  0  0
 2  0 143872 1392124   2088 814684    0    0  3200    24 1530  559 26  1 73  0  0
 2  0 143872 1392124   2088 814684    0    0  3328     0 1445  487 25  1 74  0  0
 2  0 143872 1392124   2088 814684    0    0  3328   108 1435  465 25  0 74  0  0
 2  0 143872 1392124   2088 814684    0    0  3072     0 2424 1008 25  1 74  0  0
 2  0 143872 1392124   2088 814684    0    0  3532     0 3129 1737 26  1 74  0  0
 2  0 143872 1392124   2088 814684    0    0  3224 12844 1641  815 25  1 70  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 143872 1392124   2088 814684    0    0  3200   260 1367  358 25  1 75  0  0
 2  0 143872 1392124   2088 814684    0    0  3328  1992 1439  455 25  1 74  0  0
 2  0 143872 1392124   2088 814684    0    0  3328     0 1325  358 25  0 74  0  0
 2  0 143872 1392124   2088 814684    0    0  3200     0 1377  455 25  1 74  0  0
 2  0 143872 1392124   2088 814684    0    0  3200     0 1322  330 25  0 75  0  0
 2  0 143872 1392124   2088 814684    0    0  3200     0 1445  482 25  1 74  0  0
 2  0 143872 1392124   2088 814684    0    0  3328    40 1314  308 25  0 74  0  0
