procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1  90624 2518568   2144 472096    1    2   796   213  318  150 19  1 79  0  0
 3  0  90624 2518568   2144 472096    0    0 106932     0 3647 4168 22  6 64  8  0
 2  1  90624 2518568   2144 472096    0    0 103296     0 3549 4286 26  5 63  7  0
 3  0  90624 2518568   2144 472096    0    0 101504     0 3428 4283 26  4 63  7  0
 2  0  90624 2518568   2144 472096    0    0 106500     0 3305 4296 26  4 62  8  0
 2  0  90624 2518568   2144 472096    0    0 98304    72 3381 4296 26  4 63  6  0
 2  0  90624 2518568   2144 472096    0    0 106500 16452 3268 4304 26  4 62  8  0
 3  0  90624 2518568   2144 472096    0    0 98688     0 3478 4254 26  5 63  7  0
 2  0  90624 2518568   2144 472096    0    0 106116     0 3304 4315 26  5 63  7  0
 3  1  90624 2518568   2144 472096    0    0 100736     0 3381 4320 26  4 64  6  0
 2  0  90624 2518568   2144 472096    0    0 104064    68 3469 4290 26  5 62  8  0
