procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1  90112 2527696   1840 444396    0    1   350   112  181  118  8  1 91  0  0
 2  0  90112 2527696   1840 444396    0    0 24068     0 1902  833 23  2 74  2  0
 2  0  90112 2527696   1840 444396    0    0  9656     0 1333  309 25  0 75  0  0
 2  0  90112 2527696   1840 444396    0    0  9472     0 1319  304 25  1 75  0  0
 2  0  90112 2527696   1840 444396    0    0  9344     0 1262  205 25  1 75  0  0
 2  0  90112 2527696   1840 444396    0    0  9344    68 1309  309 25  1 75  0  0
 2  0  90112 2527696   1840 444396    0    0  9472     0 1258  195 25  1 75  0  0
 2  0  90112 2527696   1840 444396    0    0  9344     0 1321  302 25  1 75  0  0
 2  0  90112 2527696   1840 444396    0    0  9472     0 1217  174 25  0 75  0  0
 2  0  90112 2527696   1840 444396    0    0  9344     0 1371  360 25  1 74  0  0
 2  0  90112 2527696   1840 444396    0    0  9344    32 1310  252 25  0 74  0  0
 2  0  90112 2527696   1840 444396    0    0  9472    52 1347  297 25  1 75  0  0
