procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 623924 1712840   2312 776488   10   25   276   239  758  842 14  4 81  1  0
 2  0 623924 1712840   2312 776488    0    0 24112     0 2226 1011 22  2 73  2  0
 2  0 623924 1712840   2312 776488    0    0  9472     0 1408  382 25  1 75  0  0
 2  0 623924 1712840   2312 776488    0    0  9216     0 1488  490 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9472     0 1503  600 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9600    72 1618  557 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9216     0 1408  342 25  1 75  0  0
 2  0 623924 1712840   2312 776488    0    0  9472     0 1478  465 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9728     0 1435  369 25  0 75  0  0
 2  0 623924 1712840   2312 776488    0    0  9088     0 1524  499 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9472    36 1437  417 25  0 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9472     0 1602  521 25  1 75  0  0
 2  0 623924 1712840   2312 776488    0    0  9344     0 1374  332 25  0 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9344     0 1613  554 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9728     0 1448  409 25  1 75  0  0
 2  0 623924 1712840   2312 776488    0    0  9100    32 1669  604 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9472     0 1438  369 25  1 75  0  0
 2  0 623924 1712840   2312 776488    0    0  9728     0 1470  457 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9344     0 1413  365 25  0 75  0  0
 2  0 623924 1712840   2312 776488    0    0  9344     0 1555  519 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9600    36 1404  373 25  1 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 623924 1712840   2312 776488    0    0  9344   876 1687  642 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9344     0 1469  379 25  0 75  0  0
 2  0 623924 1712840   2312 776488    0    0  9604    72 1522  501 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9600     0 1474  437 25  1 75  0  0
 2  0 623924 1712840   2312 776488    0    0  9784     0 1586  550 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9472   260 1511  392 25  1 75  0  0
 2  0 623924 1712840   2312 776488    0    0  9600     0 1550  613 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9344    52 1412  358 25  0 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9344     0 1541  534 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9756     0 1515  440 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9216   164 1602  555 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9344    72 1419  371 25  1 75  0  0
 2  0 623924 1712840   2312 776488    0    0  9732    72 1523  492 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9600     0 1343  324 25  1 75  0  0
 2  0 623924 1712840   2312 776488    0    0  9216     0 1520  523 25  1 75  0  0
 2  0 623924 1712840   2312 776488    0    0  9480     0 1379  347 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9600     0 1452  468 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9244   132 1501  414 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9088     0 1537  513 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9856     0 1380  364 25  1 75  0  0
 3  0 623924 1712840   2312 776488    0    0 25664    92 4141 3939 44  8 47  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 623924 1712840   2312 776488    0    0  7820     0 4290  913 53  3 43  0  0
 3  0 623924 1712840   2312 776488    0    0  7808     0 4641 1096 53  4 43  0  0
 2  0 623924 1712840   2312 776488    0    0 15564   108 3557 2458 34  2 62  2  0
 3  0 623924 1712840   2312 776488    0    0  7840   156 3614 2587 46  9 46  0  0
 2  0 623924 1712840   2312 776488    0    0  8832    72 2493 2147 36  3 61  0  0
 2  0 623924 1712840   2312 776488    0    0  9344     0 1522  480 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9344     0 1413  380 25  0 75  0  0
 2  0 623924 1712840   2312 776488    0    0  9612   136 1578  529 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9344     0 1470  399 25  1 75  0  0
 2  0 623924 1712840   2312 776488    0    0  8204   540 1440  539 22  1 70  7  0
 2  0 623924 1712840   2312 776488    0    0  9344   896 1700  584 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9472     0 1506  512 25  1 74  0  0
 3  0 623924 1712840   2312 776488    0    0  9472     0 1361  346 25  0 75  0  0
 2  0 623924 1712840   2312 776488    0    0  9216     0 1473  488 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9600    72 1433  369 25  0 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9472    16 1545  541 25  1 75  0  0
 2  0 623924 1712840   2312 776488    0    0  9344     0 1377  328 25  1 75  0  0
 2  0 623924 1712840   2312 776488    0    0  9472     0 1518  502 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9472     0 1482  445 25  0 75  0  0
 2  0 623924 1712840   2312 776488    0    0  9216    92 1601  563 25  1 74  0  0
 4  0 623924 1712840   2312 776488    0    0  9600    44 1457  405 25  0 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 623924 1712840   2312 776488    0    0  9604   220 1467  494 25  1 74  0  0
 3  0 623924 1712840   2312 776488    0    0  9216     0 1449  362 25  1 75  0  0
 2  0 623924 1712840   2312 776488    0    0  9472     0 1745  795 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9600     0 1356  331 25  0 75  0  0
 2  0 623924 1712840   2312 776488    0    0  9216   336 1539  508 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9472   440 1543  440 25  0 75  0  0
 2  0 623924 1712840   2312 776488    0    0  9600     0 1467  454 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9344     0 1463  422 25  0 75  0  0
 2  0 623924 1712840   2312 776488    0    0  9344     0 1794  566 29  1 71  0  0
 2  0 623924 1712840   2312 776488    0    0  9000    12 1718  486 28  1 71  0  0
 2  0 623924 1712840   2312 776488    0    0  9472    88 1465  492 25  1 74  0  0
 4  0 623924 1712840   2312 776488    0    0  9600     0 1550  543 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9216     0 1570  555 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9472     0 1386  357 25  1 75  0  0
 2  0 623924 1712840   2312 776488    0    0  7940 11808 1370  515 21  1 72  6  0
 2  0 623924 1712840   2312 776488    0    0  9472   364 1456  404 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9344     0 1473  468 25  1 74  0  0
 3  0 623924 1712840   2312 776488    0    0  9472    16 1406  378 25  1 75  0  0
 2  0 623924 1712840   2312 776488    0    0  9472     0 1549  522 25  1 75  0  0
 2  0 623924 1712840   2312 776488    0    0  9344     0 1421  364 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9472    48 1498  505 25  1 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 623924 1712840   2312 776488    0    0  9472     0 1511  454 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9212   468 1556  508 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9472     0 1450  368 25  1 75  0  0
 2  0 623924 1712840   2312 776488    0    0  9608    12 1641  639 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9216    52 1456  407 25  0 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9488     0 1640  570 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9600     0 1447  406 25  0 75  0  0
 2  0 623924 1712840   2312 776488    0    0  9220     0 1676  493 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9472    32 1486  389 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9600    72 1475  469 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9216     0 1386  337 25  1 75  0  0
 2  0 623924 1712840   2312 776488    0    0  9344     0 1553  523 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9728     0 1454  396 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9344     0 1493  462 25  1 74  0  0
 2  0 623924 1712840   2312 776488    0    0  9216    32 1467  393 25  1 74  0  0
