procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 623924 1703836   2556 776628   10   25   285   239  756  840 14  4 81  1  0
 2  0 623924 1703836   2556 776628    0    0 20460     0 2044 1076 22  2 74  2  0
 2  0 623924 1703836   2556 776628    0    0  4352     0 1424  410 25  0 75  0  0
 2  0 623924 1703836   2556 776628    0    0  5120     0 1447  468 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4608     0 1372  410 25  1 75  0  0
 2  0 623924 1703836   2556 776628    0    0  4352    88 1565  633 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  5248    12 1447  401 25  1 75  0  0
 2  0 623924 1703836   2556 776628    0    0  4480     0 1437  486 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4352     0 1451  441 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  5248     0 1430  449 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4504    52 1363  364 25  1 75  0  0
 2  0 623924 1703836   2556 776628    0    0  4352     0 1408  491 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  5248     0 1335  313 25  1 75  0  0
 2  0 623924 1703836   2556 776628    0    0  4352    12 1456  487 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4480     0 1363  376 25  0 75  0  0
 2  0 623924 1703836   2556 776628    0    0  5248    44 1675  784 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4352     0 1388  362 25  0 75  0  0
 2  0 623924 1703836   2556 776628    0    0  4480     0 1446  467 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  5248     0 1337  370 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4352     8 1420  482 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4352    32 1336  337 25  0 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 623924 1703836   2556 776628    0    0  5376     0 1524  534 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4352     0 1418  404 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4352     0 1474  504 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  5388     0 1601  541 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4352    32 1607  579 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4352     0 1419  373 25  0 75  0  0
 2  0 623924 1703836   2556 776628    0    0  5248     0 1446  459 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4480    28 1389  414 25  1 75  0  0
 2  0 623924 1703836   2556 776628    0    0  4352     0 1485  493 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  5248    56 1374  390 25  1 75  0  0
 2  2 623924 1703836   2556 776628    0    0  4480 20568 1568  660 25  1 62 12  0
 2  1 623924 1703836   2556 776628    0    0  3516 62648 1790  921 19  3 41 38  0
 1  2 623924 1703836   2556 776628    0    0  3760 59520 1543  714 19  2 49 30  0
 2  0 623924 1703836   2556 776628    0    0  3840 10408 1316  424 22  1 71  6  0
 2  0 623924 1703836   2556 776628    0    0  4388     0 1500  514 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  5376   260 1455  409 25  0 75  0  0
 2  0 623924 1703836   2556 776628    0    0  4352     0 1484  512 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4352     0 1438  427 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  5248     4 1487  459 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4480     0 1488  444 25  1 75  0  0
 2  0 623924 1703836   2556 776628    0    0  4352    36 1506  521 25  1 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 623924 1703836   2556 776628    0    0  5248     0 1357  359 25  0 75  0  0
 2  0 623924 1703836   2556 776628    0    0  4480   304 1503  539 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4360     0 1406  401 25  0 74  0  0
 2  0 623924 1703836   2556 776628    0    0  5248     0 1471  483 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4352    40 1327  366 25  0 75  0  0
 2  0 623924 1703836   2556 776628    0    0  4480     0 1426  475 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  5248     0 1500  454 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4352     0 1440  472 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4480     0 1413  415 25  1 75  0  0
 2  0 623924 1703836   2556 776628    0    0  5248    32 1512  540 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0 11476     0 1740  647 25  1 72  2  0
 2  0 623924 1703836   2556 776628    0    0  4352     0 1545  566 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  5376     0 1388  376 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4352     0 1434  462 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4352    32 1342  358 25  0 75  0  0
 2  0 623924 1703836   2556 776628    0    0  5376     0 1458  473 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4352     0 1416  396 25  0 75  0  0
 2  0 623924 1703836   2556 776628    0    0  4992     0 1381  465 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4608     0 1403  344 25  1 75  0  0
 2  0 623924 1703836   2556 776628    0    0  4480    32 1514  560 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  5248     0 1393  351 25  1 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 623924 1703836   2556 776628    0    0  4352     0 1444  475 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4500     0 1507  404 25  1 74  0  0
 1  2 623924 1703836   2556 776628    0    0  1936 40100 1334  723 12  2 50 37  0
 1  2 623924 1703836   2556 776628    0    0  1796 11772 1117  627 11  1 43 45  0
 2  1 623924 1703836   2556 776628    0    0  1544 13212  922  531  9  2 49 40  0
 2  1 623924 1703836   2556 776628    0    0   932 16504  901  503  8  1 58 33  0
 1  3 623924 1703836   2556 776628    0    0  1944 26748 1035  654 11  3 35 51  0
 2  0 623924 1703836   2556 776628    0    0  4244 46772 1594  904 21  1 58 20  0
 2  0 623924 1703836   2556 776628    0    0  4384   236 1469  534 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4352     0 1339  356 25  1 75  0  0
 2  0 623924 1703836   2556 776628    0    0  5376     0 1426  494 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4352     0 1341  344 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4352   196 1504  492 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  5248    36 1499  614 25  1 75  0  0
 2  0 623924 1703836   2556 776628    0    0  4480     0 1467  510 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4608     0 1324  360 25  1 75  0  0
 2  0 623924 1703836   2556 776628    0    0  4992     0 1385  473 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4480     0 1423  387 25  1 75  0  0
 2  0 623924 1703836   2556 776628    0    0  4864    32 1449  512 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4736     0 1367  366 25  0 75  0  0
 2  0 623924 1703836   2556 776628    0    0  4352     0 1459  522 25  1 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 623924 1703836   2556 776628    0    0  5376     0 1365  379 25  0 75  0  0
 2  0 623924 1703836   2556 776628    0    0  4352     0 1398  457 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4352    36 1359  356 25  0 75  0  0
 2  0 623924 1703836   2556 776628    0    0  5376     0 1453  474 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4352     0 1446  430 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4352     0 1451  484 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  5256     0 1436  394 25  1 75  0  0
 2  0 623924 1703836   2556 776628    0    0  4488    32 1456  510 25  1 74  0  0
 2  0 623924 1703836   2556 776628   32    0  4408     0 1515  475 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  5248     0 1468  511 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  7580     0 1973 1565 29  3 68  1  0
 2  0 623924 1703836   2556 776628    0    0  4352     0 1472  503 25  1 74  0  0
 9  0 623924 1703836   2556 776628    0    0 20236  1040 4586 5829 54 11 33  2  0
 6  0 623924 1703836   2556 776628    0    0 20076   124 5638 6629 63 11 24  2  0
 7  0 623924 1703836   2556 776628    0    0  4568     4 6191 3964 78 12 10  0  0
 3  0 623924 1703836   2556 776628    0    0  4368    36 5779 4951 78 11 12  0  0
 9  0 623924 1703836   2556 776628    0    0  6608     0 7098 11109 71 15 14  1  0
 1  6 623924 1703836   2556 776628    0    0  6808 124128 5735 10908 49 15 11 26  0
 3  0 623924 1703836   2556 776628    0    0  2672 38016 3877 3523 39  9 16 36  0
 8  0 623924 1703836   2556 776628    0    0  4616  1200 6243 11783 66 18 16  1  0
 3  0 623924 1703836   2556 776628    0    0  4100   756 5732 11409 50 12 37  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 623924 1703836   2556 776628    0    0  4988     0 5634 11490 50 12 37  1  0
 9  0 623924 1703836   2556 776628    0    0  5536  6840 6109 11864 52 13 34  1  0
 5  0 623924 1703836   2556 776628    0    0  4704     0 6816 16489 62 17 21  0  0
 2  0 623924 1703836   2556 776628    0    0  3712 19752 3706 12864 37  7 38 18  0
 2  0 623924 1703836   2556 776628    0    0  4480     0 1516  506 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4352     0 1371  416 25  0 75  0  0
 2  0 623924 1703836   2556 776628    0    0  5248     0 1552  525 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4352     0 1635  515 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4480    88 1540  560 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  5260     0 1446  403 25  1 75  0  0
 2  0 623924 1703836   2556 776628    0    0  4368     0 1468  477 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4736     0 1368  342 25  0 75  0  0
 2  0 623924 1703836   2556 776628    0    0  5004    64 1643  721 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4968   520 1668  749 25  1 73  0  0
 2  0 623924 1703836   2556 776628    0    0  4744   404 1555  629 25  1 74  1  0
 2  0 623924 1703836   2556 776628    0    0  5248     0 1423  476 25  1 75  0  0
 2  0 623924 1703836   2556 776628    0    0  4352     0 1594  679 26  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4352     4 1399  372 25  1 75  0  0
 2  0 623924 1703836   2556 776628    0    0  5392     0 1569  545 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4356   104 1539  550 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4352     0 1482  507 25  1 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 623924 1703836   2556 776628    0    0  5376   312 2299  853 30  1 69  1  0
 2  0 623924 1703836   2556 776628    0    0  4480   284 2231  816 30  1 69  0  0
 2  0 623924 1703836   2556 776628    0    0  4352     0 1695  736 27  1 72  0  0
 2  0 623924 1703836   2556 776628    0    0  4352     0 1529  569 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  5376     0 1441  390 25  0 75  0  0
 2  0 623924 1703836   2556 776628    0    0  4352   104 1419  481 25  1 74  0  0
 2  0 623924 1703836   2556 776628    0    0  4352     0 1408  393 25  1 75  0  0
 1  2 623924 1703836   2556 776628    0    0  3212 38640 1569  829 16  2 52 30  0
 2  2 623924 1703836   2556 776628    0    0  2180 14516 1170  613 14  1 28 57  0
 1  4 623924 1703836   2556 776628    0    0  2188 14900 1165  681 14  1 17 68  0
