procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  2 622388 1690672   3456 790296   10   25   215   206  764  854 14  4 81  0  0
 2  0 622388 1690672   3456 790296    0    0 16240     0 1471  868  4  3 72 21  0
 2  0 622388 1690672   3456 790296    0    0 10680     0 1021  390 14  1 74 11  0
 2  0 622388 1690672   3456 790296    0    0 21248     0 1589  429 25  1 74  0  0
 2  0 622388 1690672   3456 790296    0    0 21248     0 1472  304 24  1 75  0  0
 2  0 622388 1690672   3456 790296    0    0 17668   280 1503  492 21  1 70  8  0
 2  0 622388 1690672   3456 790296    0    0 21248     0 1461  285 25  1 75  0  0
 2  0 622388 1690672   3456 790296    0    0 21376     0 1540  367 25  1 74  0  0
 2  0 622388 1690672   3456 790296    0    0 21376     0 1425  275 24  1 74  0  0
 2  0 622388 1690672   3456 790296    0    0 21248     0 1527  387 24  1 75  0  0
 2  0 622388 1690672   3456 790296    0    0 21376    40 1447  282 25  1 75  0  0
 2  0 622388 1690672   3456 790296    0    0 21124     0 1543  402 24  1 75  0  0
 3  0 622388 1690672   3456 790296    0    0 17444 20756 1414  381 21  1 69  9  0
 2  0 622388 1690672   3456 790296    0    0 14372 12116 1227  425 17  2 73  8  0
 2  1 622388 1690672   3456 790296    0    0 18612 12036 1318  309 21  1 74  4  0
 2  0 622388 1690672   3456 790296    0    0 15800 21080 1343  475 18  2 72  8  0
 2  1 622388 1690672   3456 790296    0    0 18156 70936 1533  494 21  2 68  8  0
 2  1 622388 1690672   3456 790296    0    0  5484 104704 1305  774  8  4 54 34  0
 2  1 622388 1690672   3456 790296    0    0  2088 48360  766  437  5  3 53 40  0
 2  0 622388 1690672   3456 790296    0    0 20608  1832 1541  376 24  2 75  0  0
 2  0 622388 1690672   3456 790296   20    0 21268   292 1510  323 25  1 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 622388 1690672   3456 790296    0    0 21248   340 1593  451 25  1 74  0  0
 2  0 622388 1690672   3456 790296    0    0 21376     0 1443  294 25  1 75  0  0
 2  0 622388 1690672   3456 790296    0    0 21248     0 1490  379 25  1 75  0  0
 2  0 622388 1690672   3456 790296    0    0 21248     0 1423  270 25  1 75  0  0
 2  0 622388 1690672   3456 790296    0    0 21248   336 1604  490 24  1 74  0  0
 2  0 622388 1690672   3456 790296    0    0 21908     0 1506  314 25  1 74  0  0
 2  0 622388 1690672   3456 790296    0    0 21120   228 1637  493 24  2 74  0  0
 2  0 622388 1690672   3456 790296    0    0 21376     0 1453  398 24  1 75  0  0
 2  0 622388 1690672   3456 790296    0    0  9612 32880 1159  562 12  2 64 21  0
 2  0 622388 1690672   3456 790296    0    0 21380   152 1545  338 24  2 74  0  0
 1  2 622388 1690672   3456 790296    0    0  7716 50620 1099  635 10  3 55 32  0
 2  2 622388 1690672   3456 790296    0    0  3720 57116  985  775  8  3 49 40  0
 1  2 622388 1690672   3456 790296    0    0  4020 49792 1052  898  7  3 46 44  0
 1  2 622388 1690672   3456 790296    0    0  2732 58004  912  606  7  3 49 41  0
 1  4 622388 1690672   3456 790296    0    0   768 14168  529  394  3  1 43 53  0
 2  0 622388 1690672   3456 790296    0    0 15872    16 1412  457 17  1 61 22  0
 1  1 622388 1690672   3456 790296    0    0 16008     0 1311  422 19  1 74  6  0
 2  0 622388 1690672   3456 790296    0    0 18304   148 1471  368 22  1 75  3  0
 2  0 622388 1690672   3456 790296    0    0 15104     0 1220  415 18  1 74  7  0
 2  0 622388 1690672   3456 790296    0    0 11648    24  933  264 15  1 70 14  0
 2  0 622388 1690672   3456 790296    0    0 21276   348 1644  462 25  1 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 622388 1690672   3456 790296    0    0 21248     0 1525  307 24  1 75  0  0
 2  0 622388 1690672   3456 790296    0    0 21376     0 1547  384 25  1 74  0  0
 2  0 622388 1690672   3456 790296    0    0 21376     0 1437  256 25  1 75  0  0
 2  0 622388 1690672   3456 790296    0    0 28500    32 1871  586 25  1 72  2  0
 3  0 622388 1690672   3456 790296    0  588 21248   776 1645  333 25  3 73  0  0
 2  0 622388 1690672   3456 790296    0  160 13720 33088 1331  482 16  3 64 17  0
 3  0 622388 1690672   3456 790296    0  812 21248   812 1577  292 25  2 74  0  0
 1  2 622388 1690672   3456 790296    0  720 10644 29392 1254  468 13  2 64 21  0
 2  0 622388 1690672   3456 790296    0  336 20352   440 1534  282 24  2 73  1  0
 1  2 622388 1690672   3456 790296    0  100 15348 155480 1930  918 18  4 58 20  0
 1  2 622388 1690672   3456 790296    0  232  2592 59648  976  536  6  4 52 38  0
 2  0 622388 1690672   3456 790296    0    0 13328 13440 1249  437 17  2 64 17  0
 2  0 622388 1690672   3456 790296    0  480 21248   480 1523  277 24  2 74  0  0
 2  0 622388 1690672   3456 790296    0    0 21376   344 1668  624 25  2 74  0  0
 2  0 622388 1690672   3456 790296    0    0 21376     0 1465  295 25  1 75  0  0
 2  0 622388 1690672   3456 790296    0    0 21248     0 1670  448 25  2 74  0  0
 3  0 622388 1690672   3456 790296    0    0 21288     0 1558  398 24  2 74  0  0
 2  0 622388 1690672   3456 790296    0    0 21512     0 1594  434 25  1 74  0  0
 2  0 622388 1690672   3456 790296    0    0 21376   364 1586  317 25  1 74  0  0
