procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  2 622388 1488144   1888 811304   10   25   204   193  766  857 14  4 81  0  0
 2  0 622388 1488144   1888 811304    0    0 26104  1812 2382 1251 22  3 71  4  0
 3  0 622388 1488144   1888 811304    0    0  2616     0 1340  387 25  1 75  0  0
 2  0 622388 1488144   1888 811304    0    0  2304     0 1355  439 25  1 74  0  0
 2  0 622388 1488144   1888 811304    0    0  2184     0 1336  352 25  1 75  0  0
 2  0 622388 1488144   1888 811304    0    0  2048   132 1470  523 25  1 74  0  0
 2  0 622388 1488144   1888 811304    0    0  2048     0 1306  330 25  0 75  0  0
 2  0 622388 1488144   1888 811304    0    0  2048     0 1464  651 25  1 74  0  0
 2  0 622388 1488144   1888 811304    0    0  2048     0 1276  293 25  0 75  0  0
 2  0 622388 1488144   1888 811304    0    0  2048     4 1346  419 25  1 75  0  0
 2  0 622388 1488144   1888 811304    0    0  2324    52 1364  437 25  1 74  0  0
 3  0 622388 1488144   1888 811304    0    0  2188    88 1746  702 29  1 70  0  0
 2  0 622388 1488144   1888 811304    0    0  2048     0 1422  333 28  0 71  0  0
 2  0 622388 1488144   1888 811304    0    0  2048     0 1334  388 25  1 74  0  0
 2  0 622388 1488144   1888 811304    0    0  2048     0 1497  595 26  1 74  0  0
 2  0 622388 1488144   1888 811304    0    0  2048     0 1261  333 25  1 74  0  0
 2  0 622388 1488144   1888 811304    0    0  2048    48 1268  311 25  0 75  0  0
 2  0 622388 1488144   1888 811304    0    0  2048     0 1415  453 25  1 74  0  0
 2  0 622388 1488144   1888 811304    0    0  2052   116 1321  346 25  1 74  0  0
 2  0 622388 1488144   1888 811304    0    0  2304     0 1294  356 25  1 74  0  0
 2  0 622388 1488144   1888 811304    0    0  2048     0 1226  249 25  0 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 622388 1488144   1888 811304    0    0  2052     0 1368  415 25  1 74  0  0
 2  0 622388 1488144   1888 811304    0    0  2048     0 1235  259 25  0 75  0  0
 2  0 622388 1488144   1888 811304    0    0  2048    32 1325  381 25  1 74  0  0
 2  0 622388 1488144   1888 811304    0    0  2072     0 1503  422 25  1 74  0  0
 2  0 622388 1488144   1888 811304    0    0  2048     0 1319  377 25  1 74  0  0
 2  0 622388 1488144   1888 811304    0    0  2080 12504 1276  292 25  0 74  1  0
 2  0 622388 1488144   1888 811304    0    0  2048     0 1348  438 25  1 74  0  0
 2  0 622388 1488144   1888 811304    0    0  2048    56 1284  312 25  0 75  0  0
 2  0 622388 1488144   1888 811304    0    0  4024    44 1610  578 25  1 74  1  0
 2  0 622388 1488144   1888 811304    0    0  2048     0 1310  317 25  0 74  0  0
 2  0 622388 1488144   1888 811304    0    0  2080 52804 1686  709 25  2 66  8  0
 2  0 622388 1488144   1888 811304    0    0  2048     0 1256  256 25  0 75  0  0
 2  0 622388 1488144   1888 811304    0    0  2048   392 1340  407 25  1 74  0  0
 2  0 622388 1488144   1888 811304    0    0  2048   104 1350  321 25  0 74  0  0
 2  0 622388 1488144   1888 811304    0    0  2048     0 1249  334 25  1 75  0  0
 3  0 622388 1488144   1888 811304    0    0  2304     0 1219  260 25  0 75  0  0
 2  0 622388 1488144   1888 811304    0    0  2048     0 1306  373 25  1 74  0  0
 2  0 622388 1488144   1888 811304    0    0  2048     0 1229  258 25  0 75  0  0
 2  0 622388 1488144   1888 811304    0    0  2048   128 1357  394 25  1 74  0  0
 2  0 622388 1488144   1888 811304    0    0  2048     0 1389  437 25  1 75  0  0
 2  0 622388 1488144   1888 811304    0    0  2048     0 1322  371 25  1 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 622388 1488144   1888 811304    0    0  2584     0 1327  332 25  0 75  0  0
 2  0 622388 1488144   1888 811304    0    0  2048     0 1306  410 25  1 74  0  0
 2  0 622388 1488144   1888 811304    0    0  2068    52 1436  412 25  1 74  0  0
 2  0 622388 1488144   1888 811304    0    0  2048     0 1333  386 25  1 74  0  0
 2  0 622388 1488144   1888 811304    0    0  2048     0 1268  305 25  0 75  0  0
 2  0 622388 1488144   1888 811304    0    0  2048     0 1341  429 25  1 74  0  0
 2  0 622388 1488144   1888 811304    0    0  2048     0 1386  379 26  0 74  0  0
 2  0 622388 1488144   1888 811304    0    0  2320   196 1307  397 25  1 74  0  0
