procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 623924 1696424   2316 777368   10   24   292   247  754  835 14  4 81  1  0
 2  0 623924 1696424   2316 777368    0    0 23832     0 2023  816 22  2 74  3  0
 2  0 623924 1696424   2316 777368    0    0  9472     0 1529  474 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9088     0 1624  527 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9912     0 1690  552 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9480   284 1595  444 25  0 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9756   300 1767  642 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9600     0 1475  371 25  1 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9088     0 1585  496 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9600     0 1487  353 25  0 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9472     0 1524  446 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9088    32 1530  428 25  0 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9728     0 1549  486 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9216     0 1478  396 25  0 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9216    20 1605  456 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9728     0 1439  356 25  1 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9232    32 1753  792 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9344     0 1406  337 25  0 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9728     0 1475  468 25  1 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9344     0 1401  355 25  1 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9228     0 1618  543 25  1 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 623924 1696424   2316 777368    0    0  9600    32 1483  414 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9088     8 1486  465 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9472     0 1378  378 25  0 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9600     0 1474  457 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9216     0 1491  382 25  1 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9480    32 1571  527 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9876     0 1494  461 25  0 74  0  0
 3  0 623924 1696424   2316 777368    0    0  9216    16 1643  551 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9600     0 1470  420 25  0 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9472     0 1533  576 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9092   440 1364  370 25  1 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9728     0 1514  494 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9216     0 1530  467 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9216    68 1527  484 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9648     0 1437  402 25  1 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9088    36 1492  483 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9600   904 1626  547 25  1 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9344     0 1477  460 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9224     0 1578  491 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9728     0 1515  440 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9216    32 1391  355 25  1 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 623924 1696424   2316 777368    0    0  9344     8 1564  515 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9472    64 1444  414 25  0 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9112     0 1504  490 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9600     0 1386  354 25  1 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9344    40 1588  551 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9244     0 1510  411 25  0 75  0  0
 2  0 623924 1696424   2316 777368    0    0 16596    16 1874  717 25  1 72  2  0
 2  0 623924 1696424   2316 777368    0    0  9232    60 1548  399 25  1 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9600     0 1492  453 25  1 74  0  0
 3  0 623924 1696424   2316 777368    0    0  9472    48 1451  340 25  1 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9088     0 1531  477 25  1 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9728     0 1408  386 25  1 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9216     0 1427  440 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9216    64 1419  371 25  1 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9728     0 1531  549 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9216    40 1450  399 25  1 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9344     0 1429  458 25  1 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9600   328 1465  406 25  1 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9216     0 1519  527 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9472    60 1449  403 25  0 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9472    40 1547  523 25  1 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 623924 1696424   2316 777368    0    0  9088     0 1480  449 25  1 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9600     0 1523  512 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9344    32 1403  368 25  1 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9216     0 1466  483 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9728   132 1490  427 25  0 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9116     0 1582  549 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9472     0 1461  404 25  1 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9472     0 1583  525 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9216     0 1466  392 25  1 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9600    28 1455  476 25  1 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9344   104 1451  414 25  1 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9216     0 1431  453 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9600     0 1509  413 25  0 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9344     0 1505  493 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9216    36 1577  629 25  1 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9728     0 1444  448 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9216     0 1406  364 25  0 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9344    40 1433  447 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9600     0 1436  384 25  1 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9088    16 1483  499 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9600     0 1444  399 25  1 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 623924 1696424   2316 777368    0    0  9472     0 1451  465 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9100     0 1615  490 25  0 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9600    20 1587  512 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9344    32 1437  402 25  1 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9216     0 1556  533 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9728     0 1442  386 25  1 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9088     0 1513  534 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9472   860 1795  589 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9216     0 1552  505 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9344    36 1621  547 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9472    44 1572  520 25  1 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9216     0 1478  425 25  0 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9472     4 1475  484 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9472    44 1461  378 25  0 75  0  0
 3  0 623924 1696424   2316 777368    0    0  9216    56 1497  469 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9600     0 1494  441 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9216     0 1439  455 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9344   452 1498  432 25  1 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9600     8 1655  535 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9088    36 1466  443 25  0 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9604   264 1471  478 25  1 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 623924 1696424   2316 777368    0    0  9472     0 1402  326 25  1 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9088     0 1436  465 25  1 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9600     0 1348  347 25  1 75  0  0
 2  0 623924 1696424   2316 777368    0    0  9344    32 1672  586 25  1 74  0  0
 2  0 623924 1696424   2316 777368    0    0  9216    60 1505  394 25  0 75  0  0
