procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 622900 1697436   1760 806144   10   25   199   191  767  859 14  4 81  0  0
 2  0 622900 1697436   1760 806144    0    0 20140     0 1873  879 22  2 74  2  0
 2  0 622900 1697436   1760 806144    0    0  4352     0 1353  338 25  1 74  0  0
 2  0 622900 1697436   1760 806144    0    0  5248     0 1419  427 25  1 74  0  0
 2  0 622900 1697436   1760 806144    0    0  4792     0 1398  371 25  1 75  0  0
 2  0 622900 1697436   1760 806144    0    0  4352    76 1403  418 25  1 74  0  0
 2  0 622900 1697436   1760 806144    0    0  5248     0 1357  345 25  1 74  0  0
 2  0 622900 1697436   1760 806144    0    0  4480     0 1311  360 25  1 74  0  0
 2  0 622900 1697436   1760 806144    0    0  4352     0 1276  286 25  0 75  0  0
 2  0 622900 1697436   1760 806144    0    0  4992     0 1327  362 25  1 75  0  0
 2  0 622900 1697436   1760 806144    0    0  4736    36 1428  390 26  1 74  0  0
 2  0 622900 1697436   1760 806144    0    0  4352   568 1543  494 25  1 74  0  0
 2  0 622900 1697436   1760 806144    0    0  4360     0 1366  337 25  1 74  0  0
 2  0 622900 1697436   1760 806144    0    0  5248     0 1445  418 25  1 74  0  0
 2  0 622900 1697436   1760 806144    0    0  4480     0 1382  396 25  1 74  0  0
 2  0 622900 1697436   1760 806144    0    0  4352    40 2044  647 38  1 61  0  0
 2  0 622900 1697436   1760 806144    0    0 11096     0 1730  686 25  1 72  3  0
 2  0 622900 1697436   1760 806144    0    0  8676    12 2143 1697 30  3 67  1  0
 2  0 622900 1697436   1760 806144    0    0  5248     0 1416  466 25  1 75  0  0
 7  0 622900 1697436   1760 806144    0    0 16832   160 3325 3369 40  6 52  1  0
 3  0 622900 1697436   1760 806144    0    0 17576   608 4307 3655 53  7 40  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 622900 1697436   1760 806144    0    0  4860 16688 4653 1144 55  4 40  1  0
 2  0 622900 1697436   1760 806144    0    0  4236     0 5212 2515 52  5 44  0  0
