procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1  71680 1463576   2128 839188    1   14   910   401  513  507 17  3 79  1  0
 2  0  71680 1463576   2128 839188    0    0 23476     0 1996  914 22  1 74  2  0
 2  0  71680 1463576   2128 839188    0    0  9344     0 1343  312 25  0 74  0  0
 2  0  71680 1463576   2128 839188    0    0  9216     0 1594  506 25  1 74  0  0
 2  0  71680 1463576   2128 839188    0    0  9656     0 1389  396 25  0 74  0  0
 2  0  71680 1463576   2128 839188    0    0  9216    72 1429  422 25  1 74  0  0
 2  0  71680 1463576   2128 839188    0    0  9344     0 1336  295 25  1 74  0  0
 2  0  71680 1463576   2128 839188    0    0  9352     0 1464  448 25  1 74  0  0
 2  0  71680 1463576   2128 839188    0    0  9364  1832 1556  420 25  0 74  0  0
 2  0  71680 1463576   2128 839188    0    0  9344     0 1478  445 25  1 74  0  0
 2  0  71680 1463576   2128 839188    0    0  9216   100 1435  395 25  1 74  0  0
 2  0  71680 1463576   2128 839188    0    0  9344     0 1438  430 25  1 75  0  0
 2  0  71680 1463576   2128 839188    0    0  9216     0 1346  305 25  1 75  0  0
 2  0  71680 1463576   2128 839188    0    0  9344     0 1408  431 25  1 74  0  0
 2  0  71680 1463576   2128 839188    0    0  9216     0 1304  272 25  1 75  0  0
 2  0  71680 1463576   2128 839188    0    0 11924    36 1735  881 25  1 73  1  0
 2  0  71680 1463576   2128 839188    0    0  9344     0 1438  472 25  1 74  0  0
 2  0  71680 1463576   2128 839188    0    0  9344     0 1450  412 25  1 75  0  0
 2  0  71680 1463576   2128 839188    0    0  9216     0 1317  278 25  1 75  0  0
 2  0  71680 1463576   2128 839188    0    0  9344     0 1413  408 25  1 74  0  0
 2  0  71680 1463576   2128 839188    0    0  9344    16 1345  305 25  0 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  71680 1463576   2128 839188    0    0  9216     0 1430  462 25  1 74  0  0
 2  0  71680 1463576   2128 839188    0    0  9344     0 1472  427 25  1 74  0  0
 2  0  71680 1463576   2128 839188    0    0  9344     0 1429  428 25  1 74  0  0
 2  0  71680 1463576   2128 839188    0    0  9224     0 1337  304 25  1 75  0  0
 2  0  71680 1463576   2128 839188    0    0  9344    32 1492  424 25  1 74  0  0
