procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 155904 1576808   1940 810556    0    8   841   268  420  246 23  2 75  0  0
 2  0 155904 1576808   1940 810556    0    0 107260   456 3637 4430 22  6 63  9  0
 2  0 155904 1576808   1940 810556    0    0 101012     0 3351 4341 26  4 63  7  0
 2  0 155904 1576808   1940 810556    0    0 106496     0 3505 4406 26  4 63  7  0
 2  0 155904 1576808   1940 810556    0    0 98360     0 3577 4549 27  5 62  7  0
 2  0 155904 1576808   1940 810556    0    0 106496     0 3270 4429 26  5 62  7  0
 2  0 155904 1576808   1940 810556    0    0 98792  8404 3569 4522 28  4 57 10  0
 2  1 155904 1576808   1940 810556    0    0 101452     8 3829 4456 32  5 56  7  0
 3  0 155904 1576808   1940 810556    0    0 104884   336 3972 4862 30  5 58  7  0
 2  0 155904 1576808   1940 810556    0    0 98972   120 3339 4275 26  4 63  6  0
 2  1 155904 1576808   1940 810556    0    0 102936 35128 3634 4553 26  5 60  9  0
