procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  90624 2519552   1840 468364    1    3   849   233  317  157 19  1 80  0  0
 2  0  90624 2519552   1840 468364    0    0 17068     0 1937  872 21  3 74  2  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1252  290 25  1 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1592     0 1382  484 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1238  279 25  1 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1280    76 1327  408 25  1 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1283  320 25  1 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1346  415 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1231  285 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1461  646 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280    32 1332  335 25  0 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1466  484 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1242  266 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1377  429 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1339  306 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1024    32 1552  521 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1224  249 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1333  396 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1252  275 25  1 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1336  415 25  0 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280    32 1230  257 25  0 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  90624 2519552   1840 468364    0    0  1024     0 1410  421 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1266  276 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1421  450 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1264  263 25  0 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1024    32 1428  550 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1262  294 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1315  398 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280   740 1539  418 25  0 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1279  381 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1226  268 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1284  4072 1449  506 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1287  277 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1280    68 1353  430 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1335  340 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1332  368 25  0 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1024     0 1392  360 25  0 75  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1321  400 25  1 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1024    32 1339  369 25  0 74  0  0
 2  0  90624 2519552   1840 468364    0    0  1280     0 1424  475 25  1 74  0  0
