procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 488192 3007852   5272 339212    4   12   162   200  588  567 23  3 74  0  0
 2  0 488192 3007852   5272 339212    0    0    84     0 1364  406 24  1 74  0  0
 2  0 488192 3007852   5272 339212    0    0     0     0 1208  260 25  1 75  0  0
 2  0 488192 3007852   5272 339212    0    0     0   132 1315  385 25  1 74  0  0
 2  0 488192 3007852   5272 339212    0    0     0     0 1349  461 25  1 75  0  0
 2  0 488192 3007852   5272 339212    0    0     0    44 1285  386 25  1 74  0  0
 2  0 488192 3007852   5272 339212    0    0     0     0 1472  458 25  1 74  0  0
 2  0 488192 3007852   5272 339212    0    0     0     0 1327  387 25  1 74  0  0
 2  0 488192 3007852   5272 339212    0    0     0    48 1341  369 25  0 75  0  0
 2  0 488192 3007852   5272 339212    0    0     0     0 1306  371 25  1 74  0  0
 2  0 488192 3007852   5272 339212    0    0     0     0 1213  245 25  0 75  0  0
 2  0 488192 3007852   5272 339212    0    0     0    44 1313  387 25  1 74  0  0
 2  0 488192 3007852   5272 339212    0    0     0     0 1246  266 25  0 75  0  0
 2  0 488192 3007852   5272 339212    0    0     0   896 1496  503 25  1 74  0  0
 2  0 488192 3007852   5272 339212    0    0     0     0 1255  281 25  0 75  0  0
 2  0 488192 3007852   5272 339212    0    0     0     0 1426  459 25  1 74  0  0
 2  0 488192 3007852   5272 339212    0    0     0     0 1451  427 24  2 75  0  0
 2  0 488192 3007852   5272 339212    0    0     0    36 1272  343 25  1 74  0  0
 2  0 488192 3007852   5272 339212    0    0     0   116 1253  296 25  1 75  0  0
 2  0 488192 3007852   5272 339212    0    0     0     0 1301  359 25  1 74  0  0
 2  0 488192 3007852   5272 339212    0    0     0     0 1273  289 25  0 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 488192 3007852   5272 339212    0    0     0     4 1288  383 25  1 74  0  0
 2  0 488192 3007852   5272 339212    0    0     0    44 1273  283 25  1 75  0  0
 2  0 488192 3007852   5272 339212    0    0     0    48 1407  431 25  1 74  0  0
 2  0 488192 3007852   5272 339212    0    0     8     0 1273  286 25  0 74  0  0
 2  0 488192 3007852   5272 339212    0    0     0     0 1303  371 25  1 74  0  0
 2  0 488192 3007852   5272 339212    0    0     0     0 1267  268 25  1 74  0  0
 2  0 488192 3007852   5272 339212    0    0     0     0 1433  466 25  1 74  0  0
 2  0 488192 3007852   5272 339212    0    0     0   100 1414  359 25  0 74  0  0
 2  0 488192 3007852   5272 339212    0    0     0    20 1295  360 25  1 74  0  0
 2  0 488192 3007852   5272 339212    0    0     0     0 1191  238 25  0 75  0  0
