NAME   MAJ:MIN RM   SIZE RO TYPE MOUNTPOINTS
loop0    7:0    0     4K  1 loop /snap/bare/5
loop1    7:1    0   6,2M  1 loop /snap/chromium-ffmpeg/82
loop2    7:2    0   6,2M  1 loop /snap/chromium-ffmpeg/85
loop3    7:3    0  55,5M  1 loop /snap/core18/2947
loop4    7:4    0  55,5M  1 loop /snap/core18/2952
loop5    7:5    0  63,8M  1 loop /snap/core20/2599
loop6    7:6    0  63,8M  1 loop /snap/core20/2669
loop7    7:7    0  73,9M  1 loop /snap/core22/2111
loop8    7:8    0  73,9M  1 loop /snap/core22/2133
loop9    7:9    0  66,8M  1 loop /snap/core24/1151
loop10   7:10   0  66,8M  1 loop /snap/core24/1196
loop11   7:11   0  67,2M  1 loop /snap/cups/1100
loop12   7:12   0  47,6M  1 loop /snap/cups/1112
loop15   7:15   0 164,8M  1 loop /snap/gnome-3-28-1804/198
loop16   7:16   0 349,7M  1 loop /snap/gnome-3-38-2004/143
loop17   7:17   0   516M  1 loop /snap/gnome-42-2204/202
loop18   7:18   0 516,2M  1 loop /snap/gnome-42-2204/226
loop19   7:19   0 589,6M  1 loop /snap/gnome-46-2404/117
loop20   7:20   0 618,3M  1 loop /snap/gnome-46-2404/125
loop21   7:21   0  91,7M  1 loop /snap/gtk-common-themes/1535
loop26   7:26   0  31,6M  1 loop /snap/nvim/4302
loop27   7:27   0  31,6M  1 loop /snap/nvim/4330
loop31   7:31   0  49,3M  1 loop /snap/snapd/24792
loop32   7:32   0  50,8M  1 loop /snap/snapd/25202
loop33   7:33   0   568K  1 loop /snap/snapd-desktop-integration/253
loop34   7:34   0   576K  1 loop /snap/snapd-desktop-integration/315
loop37   7:37   0  35,5M  1 loop /snap/tesseract/2507
sda      8:0    0 111,8G  0 disk 
├─sda1   8:1    0   512M  0 part /boot/efi
└─sda3   8:3    0 111,3G  0 part /gnu/store
                                 /
